Time(s),FPS,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,DirX,DirY,DirZ
0.0000,0.00,0.6350,9.8600,127.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0.0200,0.29,0.6350,9.8564,127.2000,0.0000,0.0000,0.0000,0.0000,-0.1809,0.0000,0.0000,0.0000,1.0000
0.0400,0.29,0.6350,9.8492,127.2000,0.0000,0.0000,0.0000,0.0000,-0.3612,0.0000,0.0000,0.0000,1.0000
0.0600,0.29,0.6350,9.8383,127.2000,0.0000,0.0000,0.0000,0.0000,-0.5408,0.0000,0.0000,0.0000,1.0000
0.0800,0.29,0.6350,9.8239,127.2000,0.0000,0.0000,0.0000,0.0000,-0.7197,0.0000,0.0000,0.0000,1.0000
0.1000,0.29,0.6350,9.8060,127.2000,0.0000,0.0000,0.0000,0.0000,-0.8980,0.0000,0.0000,0.0000,1.0000
0.1200,0.29,0.6350,9.7845,127.2000,0.0000,0.0000,0.0000,0.0000,-1.0756,0.0000,0.0000,0.0000,1.0000
0.1400,0.29,0.6350,9.7594,127.2000,0.0000,0.0000,0.0000,0.0000,-1.2526,0.0000,0.0000,0.0000,1.0000
0.1600,0.29,0.6350,9.7308,127.2000,0.0000,0.0000,0.0000,0.0000,-1.4289,0.0000,0.0000,0.0000,1.0000
0.1800,0.29,0.6350,9.6988,127.2000,0.0000,0.0000,0.0000,0.0000,-1.6045,0.0000,0.0000,0.0000,1.0000
0.2000,0.29,0.6350,9.6632,127.2000,0.0000,0.0000,0.0000,0.0000,-1.7795,0.0000,0.0000,0.0000,1.0000
0.2200,0.29,0.6350,9.6241,127.2000,0.0000,0.0000,0.0000,0.0000,-1.9539,0.0000,0.0000,0.0000,1.0000
0.2400,0.29,0.6350,9.5815,127.2000,0.0000,0.0000,0.0000,0.0000,-2.1276,0.0000,0.0000,0.0000,1.0000
0.2600,0.29,0.6350,9.5355,127.2000,0.0000,0.0000,0.0000,0.0000,-2.3007,0.0000,0.0000,0.0000,1.0000
0.2800,0.29,0.6350,9.4861,127.2000,0.0000,0.0000,0.0000,0.0000,-2.4731,0.0000,0.0000,0.0000,1.0000
0.3000,0.29,0.6350,9.4332,127.2000,0.0000,0.0000,0.0000,0.0000,-2.6449,0.0000,0.0000,0.0000,1.0000
0.3200,0.29,0.6350,9.3768,127.2000,0.0000,0.0000,0.0000,0.0000,-2.8160,0.0000,0.0000,0.0000,1.0000
0.3400,0.29,0.6350,9.3171,127.2000,0.0000,0.0000,0.0000,0.0000,-2.9865,0.0000,0.0000,0.0000,1.0000
0.3600,34.84,0.6350,9.2540,127.2000,0.0000,0.0000,0.0000,0.0000,-3.1564,0.0000,0.0000,0.0000,1.0000
0.3800,34.84,0.6350,9.1875,127.2000,0.0000,0.0000,0.0000,0.0000,-3.3256,0.0000,0.0000,0.0000,1.0000
0.4000,34.84,0.6350,9.1176,127.2000,0.0000,0.0000,0.0000,0.0000,-3.4943,0.0000,0.0000,0.0000,1.0000
0.4200,34.84,0.6350,9.0443,127.2000,0.0000,0.0000,0.0000,0.0000,-3.6623,0.0000,0.0000,0.0000,1.0000
