Time(s),FPS,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,DirX,DirY,DirZ
0,0,0.635,9.86,127.2,0,0,0,0,0,0,0,0,1
0.02,0.29,0.635,9.8564,127.2,0,0,0,0,-0.1809,0,0,0,1
0.04,0.29,0.635,9.8492,127.2,0,0,0,0,-0.3612,0,0,0,1
0.06,0.29,0.635,9.8383,127.2,0,0,0,0,-0.5408,0,0,0,1
0.08,0.29,0.635,9.8239,127.2,0,0,0,0,-0.7197,0,0,0,1
0.1,0.29,0.635,9.806,127.2,0,0,0,0,-0.898,0,0,0,1
0.12,0.29,0.635,9.7845,127.2,0,0,0,0,-1.0756,0,0,0,1
0.14,0.29,0.635,9.7594,127.2,0,0,0,0,-1.2526,0,0,0,1
0.16,0.29,0.635,9.7308,127.2,0,0,0,0,-1.4289,0,0,0,1
0.18,0.29,0.635,9.6988,127.2,0,0,0,0,-1.6045,0,0,0,1
0.2,0.29,0.635,9.6632,127.2,0,0,0,0,-1.7795,0,0,0,1
0.22,0.29,0.635,9.6241,127.2,0,0,0,0,-1.9539,0,0,0,1
0.24,0.29,0.635,9.5815,127.2,0,0,0,0,-2.1276,0,0,0,1
0.26,0.29,0.635,9.5355,127.2,0,0,0,0,-2.3007,0,0,0,1
0.28,0.29,0.635,9.4861,127.2,0,0,0,0,-2.4731,0,0,0,1
0.3,0.29,0.635,9.4332,127.2,0,0,0,0,-2.6449,0,0,0,1
0.32,0.29,0.635,9.3768,127.2,0,0,0,0,-2.816,0,0,0,1
0.34,33.98,0.635,9.3171,127.2,0,0,0,0,-2.9865,0,0,0,1
0.36,33.98,0.635,9.254,127.2,0,0,0,0,-3.1564,0,0,0,1
0.38,33.98,0.635,9.1875,127.2,0,0,0,0,-3.3256,0,0,0,1
0.4,33.98,0.635,9.1176,127.2,0,0,0,0,-3.4943,0,0,0,1
0.42,33.98,0.635,9.0443,127.2,0,0,0,0,-3.6623,0,0,0,1
0.44,33.98,0.635,8.9677,127.2,0,0,0,0,-3.8296,0,0,0,1
0.46,33.98,0.635,8.8878,127.2,0,0,0,0,-3.9964,0,0,0,1
0.48,33.98,0.635,8.8046,127.2,0,0,0,0,-4.1625,0,0,0,1
0.5,33.98,0.635,8.718,127.2,0,0,0,0,-4.328,0,0,0,1
0.52,33.98,0.635,8.6281,127.2,0,0,0,0,-4.493,0,0,0,1
0.54,33.98,0.635,8.535,127.2,0,0,0,0,-4.6573,0,0,0,1
0.56,33.98,0.635,8.4386,127.2,0,0,0,0,-4.8209,0,0,0,1
0.58,33.98,0.635,8.3389,127.2,0,0,0,0,-4.984,0,0,0,1
0.6,33.98,0.635,8.236,127.2,0,0,0,0,-5.1465,0,0,0,1
0.62,33.98,0.635,8.1298,127.2,0,0,0,0,-5.3084,0,0,0,1
0.64,33.98,0.635,8.0204,127.2,0,0,0,0,-5.4697,0,0,0,1
0.66,33.98,0.635,7.9078,127.2,0,0,0,0,-5.6304,0,0,0,1
0.68,33.98,0.635,7.792,127.2,0,0,0,0,-5.7904,0,0,0,1
0.7,33.98,0.635,7.673,127.2,0,0,0,0,-5.9499,0,0,0,1
0.72,33.98,0.635,7.5508,127.2,0,0,0,0,-6.1088,0,0,0,1
0.74,33.98,0.635,7.4255,127.2,0,0,0,0,-6.2672,0,0,0,1
0.76,33.98,0.635,7.297,127.2,0,0,0,0,-6.4249,0,0,0,1
0.78,33.98,0.635,7.1653,127.2,0,0,0,0,-6.582,0,0,0,1
0.8,33.98,0.635,7.0306,127.2,0,0,0,0,-6.7386,0,0,0,1
0.82,33.98,0.635,6.8927,127.2,0,0,0,0,-6.8946,0,0,0,1
0.84,33.98,0.635,6.7517,127.2,0,0,0,0,-7.05,0,0,0,1
0.86,33.98,0.635,6.6076,127.2,0,0,0,0,-7.2048,0,0,0,1
0.88,33.98,0.635,6.4604,127.2,0,0,0,0,-7.3591,0,0,0,1
0.9,33.98,0.635,6.3101,127.2,0,0,0,0,-7.5127,0,0,0,1
0.92,33.98,0.635,6.1568,127.2,0,0,0,0,-7.6659,0,0,0,1
0.94,33.98,0.635,6.0005,127.2,0,0,0,0,-7.8184,0,0,0,1
0.96,33.98,0.635,5.8411,127.2,0,0,0,0,-7.9704,0,0,0,1
0.98,33.98,0.635,5.6786,127.2,0,0,0,0,-8.1218,0,0,0,1
1,33.98,0.635,5.5132,127.2,0,0,0,0,-8.2727,0,0,0,1
1.02,33.98,0.635,5.3447,127.2,0,0,0,0,-8.423,0,0,0,1
1.04,33.98,0.635,5.1732,127.2,0,0,0,0,-8.5727,0,0,0,1
1.06,33.98,0.635,4.9988,127.2,0,0,0,0,-8.7219,0,0,0,1
1.08,33.98,0.635,4.8214,127.2,0,0,0,0,-8.8705,0,0,0,1
1.1,33.98,0.635,4.641,127.2,0,0,0,0,-9.0186,0,0,0,1
1.12,33.98,0.635,4.4577,127.2,0,0,0,0,-9.1662,0,0,0,1
1.14,33.98,0.635,4.2714,127.2,0,0,0,0,-9.3132,0,0,0,1
1.16,33.98,0.635,4.0822,127.2,0,0,0,0,-9.4596,0,0,0,1
1.18,33.98,0.635,3.8901,127.2,0,0,0,0,-9.6055,0,0,0,1
1.2,33.98,0.635,3.6951,127.2,0,0,0,0,-9.7509,0,0,0,1
1.22,33.98,0.635,3.4972,127.2,0,0,0,0,-9.8957,0,0,0,1
1.24,33.98,0.635,3.2964,127.2,0,0,0,0,-10.04,0,0,0,1
1.26,33.98,0.635,3.0927,127.2,0,0,0,0,-10.1837,0,0,0,1
1.28,33.98,0.635,2.8862,127.2,0,0,0,0,-10.327,0,0,0,1
1.3,33.98,0.635,2.6768,127.2,0,0,0,0,-10.4697,0,0,0,1
1.32,33.98,0.635,2.4646,127.2,0,0,0,0,-10.6118,0,0,0,1
1.34,33.98,0.635,2.2495,127.2,0,0,0,0,-10.7535,0,0,0,1
1.36,124.2,0.635,2.0316,127.2,0,0,0,0,-10.8946,0,0,0,1
1.38,124.2,0.635,1.8109,127.2,0,0,0,0,-11.0352,0,0,0,1
