Time(s),FPS,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,DirX,DirY,DirZ
-0.2101,0.00,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
-0.1901,0.00,0.0000,9.9964,0.0000,-0.0003,0.0000,0.0000,0.0000,-0.1809,0.0001,0.0000,0.0000,1.0000
-0.1701,0.00,0.0000,9.9892,0.0000,-0.0008,0.0001,-0.0001,0.0000,-0.3612,0.0001,0.0000,0.0000,1.0000
-0.1501,0.00,0.0000,9.9783,0.0000,-0.0016,0.0001,-0.0001,0.0000,-0.5408,0.0002,0.0000,0.0000,1.0000
-0.1301,0.00,0.0000,9.9639,0.0000,-0.0027,0.0002,-0.0002,0.0000,-0.7198,0.0002,0.0000,0.0000,1.0000
-0.1101,0.00,0.0000,9.9460,0.0000,-0.0040,0.0003,-0.0003,0.0000,-0.8980,0.0003,0.0000,0.0001,1.0000
-0.0901,0.00,0.0000,9.9245,0.0000,-0.0056,0.0004,-0.0005,0.0000,-1.0757,0.0003,0.0000,0.0001,1.0000
-0.0701,0.00,0.0000,9.8994,0.0000,359.9925,0.0005,-0.0006,0.0000,-1.2526,0.0004,0.0000,0.0001,1.0000
-0.0501,0.00,0.0000,9.8708,0.0000,359.9904,0.0006,-0.0008,0.0000,-1.4289,0.0004,0.0000,0.0002,1.0000
-0.0301,0.00,0.0000,9.8388,0.0000,359.9880,0.0008,-0.0010,0.0000,-1.6046,0.0005,0.0000,0.0002,1.0000
-0.0101,0.00,0.0000,9.8032,0.0001,359.9854,0.0009,-0.0012,0.0000,-1.7796,0.0005,0.0000,0.0003,1.0000
0.0099,0.00,0.0000,9.7641,0.0001,359.9826,0.0011,-0.0015,-0.0001,-1.9539,0.0006,0.0000,0.0003,1.0000
0.0299,0.00,0.0000,9.7215,0.0001,359.9795,0.0013,-0.0018,-0.0001,-2.1276,0.0006,0.0000,0.0004,1.0000
0.0499,0.00,0.0000,9.6755,0.0001,359.9762,0.0015,-0.0020,-0.0001,-2.3007,0.0007,0.0000,0.0004,1.0000
0.0699,0.00,0.0000,9.6261,0.0001,359.9727,0.0017,-0.0023,-0.0001,-2.4731,0.0007,0.0000,0.0005,1.0000
0.0899,0.00,0.0000,9.5732,0.0001,359.9689,0.0020,-0.0027,-0.0001,-2.6449,0.0008,0.0000,0.0005,1.0000
0.1099,0.00,0.0000,9.5168,0.0001,359.9648,0.0022,-0.0030,-0.0001,-2.8160,0.0008,0.0000,0.0006,1.0000
0.1299,11.96,0.0000,9.4571,0.0002,359.9606,0.0025,-0.0034,-0.0001,-2.9866,0.0009,0.0000,0.0007,1.0000
0.1499,11.96,0.0000,9.3940,0.0002,359.9561,0.0028,-0.0038,-0.0001,-3.1564,0.0009,0.0000,0.0008,1.0000
0.1699,11.96,0.0000,9.3275,0.0002,359.9514,0.0031,-0.0042,-0.0001,-3.3257,0.0010,0.0001,0.0008,1.0000
0.1899,11.96,0.0000,9.2576,0.0002,359.9466,0.0034,-0.0046,-0.0001,-3.4943,0.0010,0.0001,0.0009,1.0000
0.2099,11.96,0.0000,9.1843,0.0002,359.9414,0.0037,-0.0050,-0.0001,-3.6623,0.0010,0.0001,0.0010,1.0000
0.2299,11.96,0.0000,9.1077,0.0003,359.9361,0.0041,-0.0055,-0.0001,-3.8297,0.0011,0.0001,0.0011,1.0000
0.2499,11.96,0.0000,9.0278,0.0003,359.9306,0.0044,359.9940,-0.0001,-3.9964,0.0011,0.0001,0.0012,1.0000
0.2699,11.96,0.0000,8.9446,0.0003,359.9248,0.0048,359.9935,-0.0001,-4.1626,0.0012,0.0001,0.0013,1.0000
0.2899,11.96,0.0000,8.8580,0.0003,359.9189,0.0052,359.9930,-0.0001,-4.3281,0.0012,0.0001,0.0014,1.0000
0.3099,11.96,0.0000,8.7681,0.0004,359.9128,0.0056,359.9925,-0.0001,-4.4930,0.0012,0.0001,0.0015,1.0000
0.3299,11.96,0.0000,8.6750,0.0004,359.9064,0.0060,359.9919,-0.0001,-4.6573,0.0013,0.0001,0.0016,1.0000
0.3499,11.96,0.0000,8.5786,0.0004,359.8999,0.0064,359.9914,-0.0001,-4.8210,0.0013,0.0001,0.0017,1.0000
0.3699,11.96,0.0000,8.4789,0.0004,359.8932,0.0068,359.9908,-0.0001,-4.9841,0.0013,0.0001,0.0019,1.0000
0.3899,11.96,0.0000,8.3760,0.0005,359.8863,0.0072,359.9902,-0.0001,-5.1466,0.0014,0.0001,0.0020,1.0000
0.4099,11.96,0.0000,8.2698,0.0005,359.8792,0.0077,359.9896,-0.0001,-5.3085,0.0014,0.0001,0.0021,1.0000
0.4299,11.96,0.0000,8.1604,0.0005,359.8719,0.0082,359.9890,-0.0001,-5.4697,0.0014,0.0001,0.0022,1.0000
0.4499,11.96,0.0000,8.0478,0.0005,359.8644,0.0086,359.9883,-0.0001,-5.6304,0.0015,0.0002,0.0024,1.0000
0.4699,11.96,-0.0001,7.9320,0.0006,359.8568,0.0091,359.9877,-0.0001,-5.7905,0.0015,0.0002,0.0025,1.0000
0.4899,11.96,-0.0001,7.8130,0.0006,359.8490,0.0096,359.9870,-0.0001,-5.9500,0.0015,0.0002,0.0026,1.0000
0.5099,11.96,-0.0001,7.6908,0.0006,359.8410,0.0101,359.9863,-0.0001,-6.1089,0.0016,0.0002,0.0028,1.0000
0.5299,11.96,-0.0001,7.5654,0.0007,359.8329,0.0107,359.9856,-0.0001,-6.2672,0.0016,0.0002,0.0029,1.0000
0.5499,11.96,-0.0001,7.4369,0.0007,359.8245,0.0112,359.9849,-0.0001,-6.4250,0.0016,0.0002,0.0031,1.0000
0.5699,11.96,-0.0001,7.3053,0.0007,359.8160,0.0118,359.9842,-0.0001,-6.5821,0.0017,0.0002,0.0032,1.0000
0.5899,11.96,-0.0001,7.1705,0.0008,359.8074,0.0123,359.9834,-0.0002,-6.7387,0.0017,0.0002,0.0034,1.0000
0.6099,11.96,-0.0001,7.0326,0.0008,359.7986,0.0129,359.9827,-0.0002,-6.8947,0.0017,0.0002,0.0035,1.0000
0.6299,11.96,-0.0001,6.8916,0.0008,359.7897,0.0135,359.9819,-0.0002,-7.0501,0.0017,0.0002,0.0037,1.0000
0.6499,11.96,-0.0001,6.7475,0.0009,359.7805,0.0140,359.9811,-0.0002,-7.2049,0.0018,0.0002,0.0038,1.0000
0.6699,11.96,-0.0001,6.6004,0.0009,359.7713,0.0146,359.9803,-0.0002,-7.3591,0.0018,0.0003,0.0040,1.0000
0.6899,11.96,-0.0001,6.4501,0.0010,359.7619,0.0152,359.9795,-0.0002,-7.5128,0.0018,0.0003,0.0042,1.0000
0.7099,11.96,-0.0001,6.2968,0.0010,359.7523,0.0159,359.9787,-0.0002,-7.6659,0.0018,0.0003,0.0043,1.0000
0.7299,11.96,-0.0001,6.1404,0.0010,359.7426,0.0165,359.9778,-0.0002,-7.8185,0.0019,0.0003,0.0045,1.0000
0.7499,11.96,-0.0001,5.9810,0.0011,359.7328,0.0171,359.9770,-0.0002,-7.9705,0.0019,0.0003,0.0047,1.0000
0.7699,11.96,-0.0001,5.8186,0.0011,359.7228,0.0178,359.9761,-0.0002,-8.1219,0.0019,0.0003,0.0048,1.0000
0.7899,11.96,-0.0001,5.6531,0.0011,359.7127,0.0184,359.9753,-0.0002,-8.2728,0.0019,0.0003,0.0050,1.0000
0.8099,11.96,-0.0001,5.4846,0.0012,359.7025,0.0191,359.9744,-0.0002,-8.4231,0.0020,0.0003,0.0052,1.0000
0.8299,11.96,-0.0001,5.3132,0.0012,359.6921,0.0198,359.9735,-0.0002,-8.5728,0.0020,0.0003,0.0054,1.0000
0.8499,11.96,-0.0001,5.1387,0.0013,359.6816,0.0204,359.9726,-0.0002,-8.7220,0.0020,0.0004,0.0056,1.0000
0.8699,11.96,-0.0001,4.9613,0.0013,359.6710,0.0211,359.9717,-0.0002,-8.8706,0.0020,0.0004,0.0057,1.0000
0.8899,11.96,-0.0001,4.7810,0.0013,359.6603,0.0218,359.9707,-0.0002,-9.0187,0.0020,0.0004,0.0059,1.0000
0.9099,11.96,-0.0001,4.5976,0.0014,359.6494,0.0225,359.9698,-0.0002,-9.1663,0.0020,0.0004,0.0061,1.0000
0.9299,11.96,-0.0001,4.4114,0.0014,359.6385,0.0232,359.9689,-0.0002,-9.3132,0.0021,0.0004,0.0063,1.0000
0.9499,11.96,-0.0001,4.2222,0.0015,359.6273,0.0240,359.9679,-0.0002,-9.4597,0.0021,0.0004,0.0065,1.0000
0.9699,11.96,-0.0001,4.0301,0.0015,359.6161,0.0247,359.9669,-0.0002,-9.6056,0.0021,0.0004,0.0067,1.0000
0.9899,11.96,-0.0001,3.8350,0.0015,359.6048,0.0254,359.9659,-0.0002,-9.7510,0.0021,0.0004,0.0069,1.0000
1.0099,11.96,-0.0001,3.6371,0.0016,359.5934,0.0262,359.9650,-0.0002,-9.8958,0.0021,0.0005,0.0071,1.0000
1.0299,11.96,-0.0001,3.4363,0.0016,359.5819,0.0269,359.9640,-0.0002,-10.0401,0.0021,0.0005,0.0073,1.0000
1.0499,11.96,-0.0001,3.2327,0.0017,359.5702,0.0277,359.9630,-0.0002,-10.1838,0.0022,0.0005,0.0075,1.0000
1.0699,11.96,-0.0002,3.0261,0.0017,359.5585,0.0285,359.9619,-0.0002,-10.3271,0.0022,0.0005,0.0077,1.0000
1.0899,11.96,-0.0002,2.8167,0.0018,359.5467,0.0292,359.9609,-0.0002,-10.4698,0.0022,0.0005,0.0079,1.0000
1.1099,11.96,-0.0002,2.6045,0.0018,359.5347,0.0300,359.9599,-0.0002,-10.6119,0.0022,0.0005,0.0081,1.0000
1.1299,90.59,-0.0002,2.3894,0.0019,359.5227,0.0308,359.9589,-0.0002,-10.7536,0.0022,0.0005,0.0083,1.0000
1.1499,90.59,-0.0002,2.1715,0.0019,359.5106,0.0316,359.9578,-0.0002,-10.8947,0.0022,0.0006,0.0085,1.0000
1.1699,90.59,-0.0002,1.9508,0.0019,359.4984,0.0324,359.9568,-0.0002,-11.0353,0.0022,0.0006,0.0088,1.0000
1.1899,90.59,-0.0002,1.7273,0.0020,359.4861,0.0332,359.9557,-0.0002,-11.1753,0.0022,0.0006,0.0090,1.0000
1.2099,90.59,-0.0002,1.5010,0.0020,359.4737,0.0340,359.9546,-0.0002,-11.3149,0.0022,0.0006,0.0092,1.0000
1.2299,90.59,-0.0002,1.2719,0.0021,359.4612,0.0348,359.9535,-0.0002,-11.4539,0.0023,0.0006,0.0094,1.0000
1.2499,90.59,-0.0002,1.0401,0.0021,359.4487,0.0357,359.9525,-0.0002,-11.5924,0.0023,0.0006,0.0096,1.0000
1.2699,90.59,-0.0002,0.8055,0.0022,359.4360,0.0365,359.9514,-0.0002,-11.7304,0.0023,0.0006,0.0098,1.0000
