Time(s),FPS,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,DirX,DirY,DirZ
-0.1821,0.00,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
-0.1621,0.00,0.0000,4.9964,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1809,0.0000,0.0000,0.0000,1.0000
-0.1421,0.00,0.0000,4.9892,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3612,0.0000,0.0000,0.0000,1.0000
-0.1221,0.00,0.0000,4.9783,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5408,0.0000,0.0000,0.0000,1.0000
-0.1021,0.00,0.0000,4.9639,0.0000,0.0000,0.0000,0.0000,0.0000,-0.7197,0.0000,0.0000,0.0000,1.0000
-0.0821,0.00,0.0000,4.9460,0.0000,0.0000,0.0000,0.0000,0.0000,-0.8980,0.0000,0.0000,0.0000,1.0000
-0.0621,0.00,0.0000,4.9245,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0756,0.0000,0.0000,0.0000,1.0000
-0.0421,0.00,0.0000,4.8994,0.0000,0.0000,0.0000,0.0000,0.0000,-1.2526,0.0000,0.0000,0.0000,1.0000
-0.0221,0.00,0.0000,4.8708,0.0000,0.0000,0.0000,0.0000,0.0000,-1.4289,0.0000,0.0000,0.0000,1.0000
-0.0021,0.00,0.0000,4.8388,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6045,0.0000,0.0000,0.0000,1.0000
0.0179,0.00,0.0000,4.8032,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7795,0.0000,0.0000,0.0000,1.0000
0.0379,0.00,0.0000,4.7641,0.0000,0.0000,0.0000,0.0000,0.0000,-1.9539,0.0000,0.0000,0.0000,1.0000
0.0579,0.00,0.0000,4.7215,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1276,0.0000,0.0000,0.0000,1.0000
0.0779,0.00,0.0000,4.6755,0.0000,0.0000,0.0000,0.0000,0.0000,-2.3007,0.0000,0.0000,0.0000,1.0000
0.0979,0.00,0.0000,4.6261,0.0000,0.0000,0.0000,0.0000,0.0000,-2.4731,0.0000,0.0000,0.0000,1.0000
0.1179,0.00,0.0000,4.5732,0.0000,0.0000,0.0000,0.0000,0.0000,-2.6449,0.0000,0.0000,0.0000,1.0000
0.1379,0.00,0.0000,4.5168,0.0000,0.0000,0.0000,0.0000,0.0000,-2.8160,0.0000,0.0000,0.0000,1.0000
0.1579,0.00,0.0000,4.4571,0.0000,0.0000,0.0000,0.0000,0.0000,-2.9865,0.0000,0.0000,0.0000,1.0000
0.1779,0.00,0.0000,4.3940,0.0000,0.0000,0.0000,0.0000,0.0000,-3.1564,0.0000,0.0000,0.0000,1.0000
0.1979,0.00,0.0000,4.3275,0.0000,0.0000,0.0000,0.0000,0.0000,-3.3256,0.0000,0.0000,0.0000,1.0000
0.2179,0.00,0.0000,4.2576,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4943,0.0000,0.0000,0.0000,1.0000
0.2379,0.00,0.0000,4.1843,0.0000,0.0000,0.0000,0.0000,0.0000,-3.6623,0.0000,0.0000,0.0000,1.0000
0.2579,0.00,0.0000,4.1077,0.0000,0.0000,0.0000,0.0000,0.0000,-3.8296,0.0000,0.0000,0.0000,1.0000
0.2779,31.94,0.0000,4.0278,0.0000,0.0000,0.0000,0.0000,0.0000,-3.9964,0.0000,0.0000,0.0000,1.0000
0.2979,31.94,0.0000,3.9446,0.0000,0.0000,0.0000,0.0000,0.0000,-4.1625,0.0000,0.0000,0.0000,1.0000
0.3179,31.94,0.0000,3.8580,0.0000,0.0000,0.0000,0.0000,0.0000,-4.3280,0.0000,0.0000,0.0000,1.0000
0.3379,31.94,0.0000,3.7682,0.0000,0.0000,0.0000,0.0000,0.0000,-4.4930,0.0000,0.0000,0.0000,1.0000
0.3579,31.94,0.0000,3.6750,0.0000,0.0000,0.0000,0.0000,0.0000,-4.6573,0.0000,0.0000,0.0000,1.0000
0.3779,31.94,0.0000,3.5786,0.0000,0.0000,0.0000,0.0000,0.0000,-4.8209,0.0000,0.0000,0.0000,1.0000
0.3979,31.94,0.0000,3.4789,0.0000,0.0000,0.0000,0.0000,0.0000,-4.9840,0.0000,0.0000,0.0000,1.0000
0.4179,31.94,0.0000,3.3760,0.0000,0.0000,0.0000,0.0000,0.0000,-5.1465,0.0000,0.0000,0.0000,1.0000
0.4379,31.94,0.0000,3.2698,0.0000,0.0000,0.0000,0.0000,0.0000,-5.3084,0.0000,0.0000,0.0000,1.0000
0.4579,31.94,0.0000,3.1604,0.0000,0.0000,0.0000,0.0000,0.0000,-5.4697,0.0000,0.0000,0.0000,1.0000
0.4779,31.94,0.0000,3.0478,0.0000,0.0000,0.0000,0.0000,0.0000,-5.6304,0.0000,0.0000,0.0000,1.0000
0.4979,31.94,0.0000,2.9320,0.0000,0.0000,0.0000,0.0000,0.0000,-5.7904,0.0000,0.0000,0.0000,1.0000
0.5179,31.94,0.0000,2.8130,0.0000,0.0000,0.0000,0.0000,0.0000,-5.9499,0.0000,0.0000,0.0000,1.0000
0.5379,31.94,0.0000,2.6908,0.0000,0.0000,0.0000,0.0000,0.0000,-6.1088,0.0000,0.0000,0.0000,1.0000
0.5579,31.94,0.0000,2.5655,0.0000,0.0000,0.0000,0.0000,0.0000,-6.2672,0.0000,0.0000,0.0000,1.0000
0.5779,31.94,0.0000,2.4370,0.0000,0.0000,0.0000,0.0000,0.0000,-6.4249,0.0000,0.0000,0.0000,1.0000
0.5979,31.94,0.0000,2.3053,0.0000,0.0000,0.0000,0.0000,0.0000,-6.5820,0.0000,0.0000,0.0000,1.0000
0.6179,31.94,0.0000,2.1706,0.0000,0.0000,0.0000,0.0000,0.0000,-6.7386,0.0000,0.0000,0.0000,1.0000
0.6379,31.94,0.0000,2.0327,0.0000,0.0000,0.0000,0.0000,0.0000,-6.8946,0.0000,0.0000,0.0000,1.0000
0.6579,31.94,0.0000,1.8917,0.0000,0.0000,0.0000,0.0000,0.0000,-7.0500,0.0000,0.0000,0.0000,1.0000
0.6779,31.94,0.0000,1.7476,0.0000,0.0000,0.0000,0.0000,0.0000,-7.2048,0.0000,0.0000,0.0000,1.0000
0.6979,31.94,0.0000,1.6004,0.0000,0.0000,0.0000,0.0000,0.0000,-7.3591,0.0000,0.0000,0.0000,1.0000
0.7179,31.94,0.0000,1.4501,0.0000,0.0000,0.0000,0.0000,0.0000,-7.5127,0.0000,0.0000,0.0000,1.0000
0.7379,31.94,0.0000,1.2968,0.0000,0.0000,0.0000,0.0000,0.0000,-7.6659,0.0000,0.0000,0.0000,1.0000
0.7579,31.94,0.0000,1.1405,0.0000,0.0000,0.0000,0.0000,0.0000,-7.8184,0.0000,0.0000,0.0000,1.0000
0.7779,31.94,0.0000,0.9811,0.0000,0.0000,0.0000,0.0000,0.0000,-7.9704,0.0000,0.0000,0.0000,1.0000
0.7979,31.94,0.0000,0.8186,0.0000,0.0000,0.0000,0.0000,0.0000,-8.1218,0.0000,0.0000,0.0000,1.0000
0.8179,31.94,0.0000,0.6532,0.0000,0.0000,0.0000,0.0000,0.0000,-8.2727,0.0000,0.0000,0.0000,1.0000
0.8379,31.94,0.0000,0.4847,0.0000,0.0000,0.0000,0.0000,0.0000,-8.4230,0.0000,0.0000,0.0000,1.0000
0.8579,31.94,0.0000,0.3133,0.0000,0.0000,0.0000,0.0000,0.0000,-8.5727,0.0000,0.0000,0.0000,1.0000
0.8779,31.94,0.0000,0.1388,0.0000,0.0000,0.0000,0.0000,0.0000,-8.7219,0.0000,0.0000,0.0000,1.0000
0.8979,31.94,0.0000,-0.0386,0.0000,0.0000,0.0000,0.0000,0.0000,-8.8705,0.0000,0.0000,0.0000,1.0000
0.9179,31.94,0.0000,0.0243,0.0000,0.0016,-0.0017,359.9873,0.1314,0.9983,-0.0033,0.0000,0.0000,1.0000
0.9379,31.94,-0.0010,0.0474,-0.0002,359.9879,0.0345,2.5402,0.0601,1.0204,0.0141,0.0006,0.0002,1.0000
0.9579,31.94,-0.0010,0.0651,0.0004,359.9765,0.0418,6.3038,0.0227,0.8662,0.0304,0.0007,0.0004,1.0000
0.9779,31.94,-0.0016,0.0794,0.0009,0.0021,359.9165,9.7554,-0.0184,0.7068,0.0247,-0.0015,0.0000,1.0000
0.9979,31.94,-0.0031,0.0906,0.0015,359.9698,359.8406,12.5146,-0.0677,0.5527,0.0317,-0.0028,0.0005,1.0000
1.0179,31.94,-0.0055,0.0986,0.0018,0.0059,359.6667,14.7124,-0.1167,0.4004,0.0142,-0.0058,-0.0001,1.0000
1.0379,31.94,-0.0080,0.1040,0.0019,0.0244,359.6472,16.1733,-0.1247,0.2699,0.0023,-0.0062,-0.0004,1.0000
1.0579,31.94,-0.0097,0.1070,0.0018,0.0200,359.6648,17.0384,-0.0806,0.1537,-0.0029,-0.0059,-0.0003,1.0000
1.0779,31.94,-0.0102,0.1079,0.0018,0.0105,359.6743,17.3078,-0.0254,0.0464,-0.0016,-0.0057,-0.0002,1.0000
1.0979,31.94,-0.0097,0.1067,0.0018,0.0067,359.6682,16.9792,0.0291,-0.0618,0.0013,-0.0058,-0.0001,1.0000
1.1179,31.94,-0.0080,0.1033,0.0019,0.0113,359.6636,16.0732,0.0844,-0.1688,0.0016,-0.0059,-0.0002,1.0000
1.1379,31.94,-0.0053,0.0977,0.0018,359.9871,359.6609,14.5666,0.1347,-0.2789,-0.0002,-0.0059,0.0002,1.0000
